N, bf16_alpha, bf16_iter, fp32_alpha, fp32_iter, fp64_alpha, fp64_iter
100, 270, 101, 300, 103, 300, 103
250, 270, 103, 300, 103, 300, 103
400, 270, 104, 300, 103, 300, 103
550, 270, 105, 300, 103, 300, 103
700, 270, 105, 300, 103, 300, 103
850, 270, 105, 300, 103, 300, 103
1000, 300, 211, 300, 103, 300, 103
1150, 290, 182, 300, 103, 300, 103
1300, 300, 178, 300, 103, 300, 103
1450, 310, 197, 300, 103, 300, 103
1600, 300, 194, 300, 103, 300, 103
